LogTest.txt,
10327152,-19
log,
10382732,-7
10385200,-11
10387672,-11
10390140,-11
10392624,-15
10395112,-11
10397592,-15
10400060,-11
10402520,-19
10404988,-15
log,
10460048,-11
10462512,-7
10464964,-7
10467432,-7
10469904,-15
10472384,-15
10474856,-11
10477320,-11
10479788,-15
10482252,-11
log,
10536172,-7
10538624,-7
10541088,-7
10543556,-15
10546036,-15
10548512,-15
10550988,-11
10553448,-7
10555912,-15
10558364,-7
log,
10614452,-7
10616916,-3
10619384,-11
10621844,-7
10624324,-11
10626792,-15
10629260,-15
10631724,-11
10634200,-15
10636676,-15
log,
10690604,-7
10693056,-3
10695508,-7
10697972,-3
10700424,-7
10702888,-7
10705340,-3
10707788,-3
10710244,-3
10712704,-11
log,
10763264,-3
10765732,-11
10768176,0
10770632,-7
10773088,-7
10775568,-7
10778032,-11
10780496,-15
10782952,-7
10785412,-19
log,
10837096,-7
10839564,-11
10842028,-3
10844492,-3
10846944,-7
10849416,-15
10851868,-7
10854304,0
10856764,-7
10859212,-3
log,
10912988,-7
10915456,-15
10917936,-11
10920420,-15
10922880,-7
10925360,-11
10927824,-15
10930280,-7
10932744,-11
10935200,-3
log,
10988556,-7
10991008,-7
10993460,-7
10995936,-11
10998372,0
11000860,-11
11003328,-15
11005792,-11
11008244,-3
11010696,-7
log,
11062388,-11
11064856,-11
11067332,-11
11069812,-7
11072280,-11
11074756,-11
11077212,-7
11079668,-3
11082140,-11
11084604,-11
log,
11138528,-7
11141008,-11
11143476,-7
11145944,-11
11148424,-11
11150876,-7
11153336,-7
11155788,-7
11158236,-3
11160696,-7
log,
11215656,-3
11218120,-7
11220572,-7
11223032,-3
11225508,-11
11227964,-7
11230416,-7
11232864,-7
11235320,-7
11237772,-3
log,
11288312,-7
11290776,-3
11293240,-7
11295680,0
11298144,-7
11300620,-15
11303092,-15
11305548,-7
11307988,0
11310440,-7
log,
11360448,-15
11362904,-3
11365368,-7
11367836,-11
11370312,-11
11372788,-11
11375268,-11
11377740,-11
11380212,-15
11382680,-11
log,
11437180,-11
11439644,-11
11442136,-15
11444604,-7
11447060,-7
11449536,-15
11452012,-11
11454476,-7
11456932,-3
11459392,-11
log,
11516040,-3
11518500,-3
11520968,-7
11523440,-11
11525896,3
11528368,-15
11530824,-3
11533284,-3
11535736,-3
11538200,-11
log,
11589328,-11
11591788,-7
11594248,-3
11596720,-11
11599188,-3
11601656,-15
11604116,-7
11606564,-3
11609016,-7
11611484,-15
log,
11663732,0
11666164,0
11668624,-7
11671076,-7
11673516,0
11675996,-11
11678456,-3
11680924,-15
11683380,-7
11685836,-3
log,
11735244,0
11737700,-7
11740172,-7
11742644,-15
11745108,-19
11747572,-7
11750028,-7
11752492,-3
11754956,-11
11757420,-15
log,
11812396,-3
11814872,-15
11817348,-15
11819816,-15
11822284,-7
11824744,-7
11827212,-3
11829660,-7
11832120,-11
11834556,0
log,
11886248,-11
11888708,-7
11891168,-7
11893628,-7
11896084,-3
11898556,-11
11901040,-15
11903500,-19
11905976,-15
11908444,-11
log,
11961792,0
11964244,-3
11966708,-3
11969160,-7
11971628,-7
11974084,-3
11976536,-3
11978972,0
11981420,-7
11983884,-7
log,
12036080,-11
12038552,-11
12041028,-15
12043500,-11
12045968,-11
12048448,-15
12050916,-15
12053372,-7
12055828,-7
12058284,-3
log,
12112228,-11
12114700,-7
12117168,-7
12119628,-7
12122120,-11
12124596,-11
12127064,-11
12129520,-7
12131968,-3
12134444,-11
log,
12187204,-11
12189672,-7
12192152,-15
12194624,-11
12197092,-7
12199564,-11
12202036,-3
12204496,-15
12206964,-15
12209428,-7
log,
12262824,-11
12265280,-7
12267736,-7
12270200,-3
12272684,-11
12275136,-7
12277608,-15
12280068,-7
12282536,-15
12284996,-7
log,
12340564,-7
12343016,-3
12345472,-7
12347932,-7
12350408,-11
12352868,-7
12355332,-11
12357788,-3
12360220,0
12362672,-3
log,
12413260,-11
12415712,-3
12418200,-15
12420672,-11
12423140,-7
12425612,-3
12428076,-11
12430536,-3
12432980,3
12435440,-3
log,
12487128,-7
12489580,-7
12492068,-11
12494540,-11
12497012,-11
12499468,-7
12501940,-11
12504396,-3
12506860,-11
12509316,-3
log,
12562124,-7
12564600,-11
12567068,-11
12569532,-7
12571996,-3
12574460,-7
12576920,-3
12579352,0
12581820,-11
12584276,-3
log,
12638712,-7
12641188,-11
12643664,-11
12646136,-11
12648620,-11
12651092,-11
12653580,-15
12656048,-11
12658496,-7
12660964,-11
log,
12715476,-15
12717936,-7
12720420,-11
12722896,-11
12725388,-11
12727848,-7
12730328,-11
12732804,-11
12735276,-11
12737752,-15
log,
12792248,-7
12794700,-7
12797180,-11
12799664,-15
12802136,-7
12804572,0
12807024,-7
12809476,-7
12811928,-7
12814388,-7
log,
12864952,-3
12867420,-11
12869884,-7
12872364,-15
12874836,-11
12877304,-11
12879764,-3
12882220,-7
12884672,-7
12887124,-7
log,
12942628,-7
12945104,-11
12947564,-3
12949996,0
12952480,-11
12954940,-7
12957400,-11
12959856,-3
12962304,-7
12964760,-7
log,
13015820,-11
13018304,-15
13020744,0
13023224,-11
13025688,-3
13028140,-3
13030600,-3
13033048,-7
13035508,-7
13037980,-11
log,
13089684,-7
13092140,-7
13094600,-7
13097080,-11
13099536,-3
13102004,-3
13104472,-7
13106920,-7
13109380,-3
13111828,-3
log,
13162400,-7
13164872,-11
13167352,-11
13169824,-11
13172280,-3
13174756,-11
13177224,-7
13179676,-7
13182120,0
13184580,-11
log,
13240088,-11
13242568,-11
13245036,-11
13247500,-7
13249968,-15
13252440,-11
13254896,-7
13257356,-11
13259832,-11
13262296,-11
log,
13316708,-15
13319180,-7
13321632,-7
13324096,-7
13326568,-15
13329036,-11
13331516,-11
13333984,-11
13336440,-7
13338916,-11
log,
13405516,-11
13407972,-7
13410432,-7
13412880,-7
13415332,-7
13417788,-3
13420236,-7
13422696,-7
13425144,-3
13427612,-11
log,
13479096,-7
13481548,-7
13484020,-7
13486488,-11
13488956,-15
13491436,-11
13493892,-3
13496364,-11
13498828,-11
13501276,-7
log,
13557404,-7
13559876,-7
13562332,-3
13564780,-7
13567268,-11
13569728,-7
13572180,-3
13574648,-11
13577116,-11
13579588,-15
log,
13631780,-7
13634244,-7
13636716,-7
13639168,-7
13641640,-15
13644084,0
13646552,-15
13649004,-7
13651468,-11
13653924,-3
log,
13704988,-7
13707460,-11
13709920,-3
13712396,-11
13714864,-11
13717324,-7
13719796,-3
13722244,-7
13724716,-11
13727164,-7
log,
13779340,0
13781788,-7
13784268,-11
13786736,-15
13789208,-7
13791664,-7
13794132,-15
13796588,-7
13799036,-7
13801512,-15
log,
13856376,-7
13858848,-7
13861312,-11
13863772,-7
13866240,-7
13868708,-11
13871172,-7
13873636,-11
13876108,-11
13878568,-3
log,
13930752,0
13933208,-7
13935692,-11
13938152,-7
13940608,-7
13943076,-7
13945536,-7
13947988,-3
13950444,-3
13952892,-7
log,
14002912,-3
14005376,-7
14007840,-3
14010300,-7
14012740,0
14015196,-3
14017660,-7
14020108,-7
14022564,-3
14025016,-3
log,
14074460,-7
14076932,-7
14079392,-7
14081852,-7
14084304,0
14086780,-15
14089256,-11
14091688,0
14094116,0
14096572,-3
log,
14153096,-7
14155560,-7
14158036,-11
