myTest.txt			freq	dt		
1562556	-191		338.7533875	0.002952		-1.91
1567332	-229		209.3802345	0.004776		-2.29
1570280	-191		339.2130258	0.002948		-1.91
1573228	-114		339.2130258	0.002948		-1.14
1576180	-153		338.7533875	0.002952		-1.53
1579136	-191		338.2949932	0.002956		-1.91
1582088	-191		338.7533875	0.002952		-1.91
1585044	-153		338.2949932	0.002956		-1.53
1587992	-191		339.2130258	0.002948		-1.91
1590940	-191		339.2130258	0.002948		-1.91
1593892	-191		338.7533875	0.002952		-1.91
1596840	-153		339.2130258	0.002948		-1.53
1599788	-191		339.2130258	0.002948		-1.91
1602736	-191		339.2130258	0.002948		-1.91
1605680	-153		339.673913	0.002944		-1.53
1608632	-191		338.7533875	0.002952		-1.91
1611580	-153		339.2130258	0.002948		-1.53
1614528	-191		339.2130258	0.002948		-1.91
1617480	-191		338.7533875	0.002952		-1.91
1620428	-229		339.2130258	0.002948		-2.29
1623380	-229		338.7533875	0.002952		-2.29
1626336	-191		338.2949932	0.002956		-1.91
1629284	-114		339.2130258	0.002948		-1.14
1632232	-153		339.2130258	0.002948		-1.53
1635188	-153		338.2949932	0.002956		-1.53
1638136	-191		339.2130258	0.002948		-1.91
1641084	-191		339.2130258	0.002948		-1.91
1644032	-191		339.2130258	0.002948		-1.91
1646976	-191		339.673913	0.002944		-1.91
1649920	-191		339.673913	0.002944		-1.91
1652864	-229		339.673913	0.002944		-2.29
1655816	-191		338.7533875	0.002952		-1.91
1658768	-229		338.7533875	0.002952		-2.29
1661716	-191		339.2130258	0.002948		-1.91
1664668	-153		338.7533875	0.002952		-1.53
1669444	-114		209.3802345	0.004776		-1.14
1672388	-191		339.673913	0.002944		-1.91
1675332	-191		339.673913	0.002944		-1.91
1678288	-191		338.2949932	0.002956		-1.91
1681240	-191		338.7533875	0.002952		-1.91
1684184	-229		339.673913	0.002944		-2.29
1687136	-191		338.7533875	0.002952		-1.91
1690080	-191		339.673913	0.002944		-1.91
1693024	-191		339.673913	0.002944		-1.91
1695968	-191		339.673913	0.002944		-1.91
1698916	-153		339.2130258	0.002948		-1.53
1701864	-229		339.2130258	0.002948		-2.29
1704820	-191		338.2949932	0.002956		-1.91
1707764	-191		339.673913	0.002944		-1.91
1710712	-191		339.2130258	0.002948		-1.91
1713664	-191		338.7533875	0.002952		-1.91
1716616	-191		338.7533875	0.002952		-1.91
1719564	-153		339.2130258	0.002948		-1.53
1722516	-153		338.7533875	0.002952		-1.53
1725468	-191		338.7533875	0.002952		-1.91
1728420	-191		338.7533875	0.002952		-1.91
1731364	-153		339.673913	0.002944		-1.53
1734308	-153		339.673913	0.002944		-1.53
1737256	-191		339.2130258	0.002948		-1.91
1740212	-191		338.2949932	0.002956		-1.91
1743164	-191		338.7533875	0.002952		-1.91
1746116	-153		338.7533875	0.002952		-1.53
1749064	-153		339.2130258	0.002948		-1.53
1752016	-191		338.7533875	0.002952		-1.91
1754972	-191		338.2949932	0.002956		-1.91
1757928	-153		338.2949932	0.002956		-1.53
1760880	-191		338.7533875	0.002952		-1.91
1763824	-191		339.673913	0.002944		-1.91
1766772	-191		339.2130258	0.002948		-1.91
1769716	-191		339.673913	0.002944		-1.91
1774500	-191		209.0301003	0.004784		-1.91
1777456	-153		338.2949932	0.002956		-1.53
1780404	-229		339.2130258	0.002948		-2.29
1783356	-191		338.7533875	0.002952		-1.91
1786304	-191		339.2130258	0.002948		-1.91
1789252	-153		339.2130258	0.002948		-1.53
1792200	-153		339.2130258	0.002948		-1.53
1795144	-191		339.673913	0.002944		-1.91
1798096	-191		338.7533875	0.002952		-1.91
1801052	-229		338.2949932	0.002956		-2.29
1804008	-191		338.2949932	0.002956		-1.91
1806952	-153		339.673913	0.002944		-1.53
1809900	-229		339.2130258	0.002948		-2.29
1812848	-153		339.2130258	0.002948		-1.53
1815796	-229		339.2130258	0.002948		-2.29
1818752	-153		338.2949932	0.002956		-1.53
1821704	-153		338.7533875	0.002952		-1.53
1824660	-191		338.2949932	0.002956		-1.91
1827604	-191		339.673913	0.002944		-1.91
1830552	-153		339.2130258	0.002948		-1.53
1833500	-191		339.2130258	0.002948		-1.91
1836448	-191		339.2130258	0.002948		-1.91
1839396	-191		339.2130258	0.002948		-1.91
1842348	-191		338.7533875	0.002952		-1.91
1845300	-191		338.7533875	0.002952		-1.91
1848248	-191		339.2130258	0.002948		-1.91
1851196	-191		339.2130258	0.002948		-1.91
1854144	-191		339.2130258	0.002948		-1.91
1857096	-153		338.7533875	0.002952		-1.53
1860044	-153		339.2130258	0.002948		-1.53
1862992	-191		339.2130258	0.002948		-1.91
1865948	-191		338.2949932	0.002956		-1.91
1868896	-191		339.2130258	0.002948		-1.91
1871840	-153		339.673913	0.002944		-1.53
1876632	-153		208.6811352	0.004792		-1.53
1879580	-229		339.2130258	0.002948		-2.29
1882528	-191		339.2130258	0.002948		-1.91
1885480	-191		338.7533875	0.002952		-1.91
1888428	-191		339.2130258	0.002948		-1.91
1891376	-191		339.2130258	0.002948		-1.91
1894332	-191		338.2949932	0.002956		-1.91
1897288	-191		338.2949932	0.002956		-1.91
1900244	-191		338.2949932	0.002956		-1.91
1903196	-191		338.7533875	0.002952		-1.91
1906144	-191		339.2130258	0.002948		-1.91
1909096	-191		338.7533875	0.002952		-1.91
1912048	-153		338.7533875	0.002952		-1.53
1915004	-191		338.2949932	0.002956		-1.91
1917960	-229		338.2949932	0.002956		-2.29
1920916	-229		338.2949932	0.002956		-2.29
1923864	-153		339.2130258	0.002948		-1.53
1926812	-153		339.2130258	0.002948		-1.53
1929756	-191		339.673913	0.002944		-1.91
