Time, Unfiltered, Filtered 
3.37,2.5957,0.0118241
3.38,3.12526,0.0118241
3.39,3.86335,0.0118241
3.4,4.70231,0.0118241
3.41,5.52271,0.0118241
3.42,6.20519,0.0118241
3.43,6.64231,0.0118241
3.44,6.74922,0.0118241
3.45,6.47212,0.0118241
3.46,5.79371,0.0118241
3.47,4.73507,0.0118241
3.48,3.35375,0.0118241
3.49,1.73833,0.0118241
3.5,-6.78964e-005,0.0118241
3.51,-1.73846,0.0118241
3.52,-3.35387,0.0118241
3.53,-4.73517,0.0118241
3.54,-5.79378,0.0118241
3.55,-6.47215,0.0118241
3.56,-6.74923,0.0118241
3.57,-6.64229,0.0118241
3.58,-6.20515,0.0118241
3.59,-5.52265,0.0118241
3.6,-4.70225,0.0118241
3.61,-3.86329,0.0118241
3.62,-3.12521,0.0118241
3.63,-2.59567,0.0118241
3.64,-2.35988,0.0118241
3.65,-2.47215,0.0118241
3.66,-2.95042,0.0118241
3.67,-3.77443,0.0118241
3.68,-4.88753,0.0118241
3.69,-6.2022,0.0118241
3.7,-7.60851,0.0118241
3.71,-8.98479,0.0118241
3.72,-10.2095,0.0118241
3.73,-11.173,0.0118241
3.74,-11.7885,0.0118241
3.75,-12,0.0118241
3.76,-11.7884,0.0118241
3.77,-11.173,0.0118241
3.78,-10.2094,0.0118241
3.79,-8.98468,0.0118241
3.8,-7.60839,0.0118241
3.81,-6.20209,0.0118241
3.82,-4.88742,0.0118241
3.83,-3.77434,0.0118241
3.84,-2.95037,0.0118241
3.85,-2.47212,0.0118241
3.86,-2.35988,0.0118241
3.87,-2.5957,0.0118241
3.88,-3.12526,0.0118241
3.89,-3.86336,0.0118241
3.9,-4.70232,0.0118241
3.91,-5.52272,0.0118241
3.92,-6.2052,0.0118241
3.93,-6.64231,0.0118241
3.94,-6.74922,0.0118241
3.95,-6.47212,0.0118241
3.96,-5.79371,0.0118241
3.97,-4.73506,0.0118241
3.98,-3.35374,0.0118241
3.99,-1.73832,0.0118241
4,7.75959e-005,0.0118241
4.01,1.73847,0.0118241
4.02,3.35387,0.0118241
4.03,4.73517,0.0118241
4.04,5.79378,0.0118241
4.05,6.47216,0.0118241
4.06,6.74923,0.0118241
4.07,6.64229,0.0118241
4.08,6.20514,0.0118241
4.09,5.52265,0.0118241
4.1,4.70224,0.0118241
4.11,3.86329,0.0118241
4.12,3.12521,0.0118241
4.13,2.59566,0.0118241
4.14,2.35988,0.0118241
4.15,2.47215,0.0118241
4.16,2.95043,0.0118241
4.17,3.77443,0.0118241
4.18,4.88753,0.0118241
4.19,6.20221,0.0118241
4.2,7.60852,0.0118241
4.21,8.98479,0.0118241
4.22,10.2095,0.0118241
4.23,11.173,0.0118241
4.24,11.7885,0.0118241
4.25,12,0.0118241
4.26,11.7884,0.0118241
4.27,11.1729,0.0118241
4.28,10.2094,0.0118241
4.29,8.98467,0.0118241
4.3,7.60839,0.0118241
4.31,6.20208,0.0118241
4.32,4.88742,0.0118241
4.33,3.77434,0.0118241
4.34,2.95037,0.0118241
4.35,2.47212,0.0118241
4.36,2.35988,0.0118241
4.37,2.5957,0.0118241
4.38,3.12527,0.0118241
4.39,3.86336,0.0118241
4.4,4.70232,0.0118241
4.41,5.52272,0.0118241
4.42,6.2052,0.0118241
4.43,6.64232,0.0118241
4.44,6.74922,0.0118241
4.45,6.47211,0.0118241
4.46,5.7937,0.0118241
4.47,4.73506,0.0118241
4.48,3.35373,0.0118241
4.49,1.73831,0.0118241
